AÑO;Ubic Técnica;Mes;Sector;  Corte;      Area;   Edad;      TC-mes;    TC-Total;     TCH;   TCHM;   Brix;Sacarosa; Pureza;Rendimient; Ton.Azucar;Ton.Azucar;Ton.Azucar (TAHM)
2020;3110-151;2;3110 NORMANDIA;3;11.42;11.7;1515.62;1515.62;132.716;11.343;19.281;17.07;88.547;11.855;179.676;15.733;1.345
2020;3110-161;2;3110 NORMANDIA;3;11.63;11.7;1445.38;1445.38;124.28;10.622;19.96;17.789;89.088;12.396;179.169;15.406;1.317
2020;3110-270;2;3110 NORMANDIA;4;19.64;11.9;2401.29;2401.29;122.265;10.274;19.289;17.24;89.387;12.031;288.9;14.71;1.236
2020;3110-250;2;3110 NORMANDIA;3;17.7;11.8;2317.82;2317.82;130.95;11.097;19.513;17.328;88.804;12.053;279.361;15.783;1.338
2020;3111-140;2;3111 PERALONSO;1;7.26;11.9;876.98;876.98;120.796;10.151;19.042;16.679;87.492;11.519;101.021;13.915;1.169
2020;3111-270;2;3111 PERALONSO;1;12.6;12;1464.817;1464.817;116.255;9.688;19.157;16.806;87.731;11.617;170.161;13.505;1.125
2020;3111-150;2;3111 PERALONSO;3;17.07;11.8;1911.056;1911.056;111.954;9.488;19.569;17.542;89.61;12.259;234.285;13.725;1.163
2020;3111-160;2;3111 PERALONSO;3;10.3;11.8;1314.612;1314.612;127.632;10.816;20.293;18.113;89.235;12.632;166.059;16.122;1.366
2020;3111-161;2;3111 PERALONSO;3;5.87;11.7;686.038;686.038;116.872;9.989;20.883;18.795;89.993;13.162;90.294;15.382;1.315
2020;3111-190;2;3111 PERALONSO;3;7.16;11.8;862.361;862.361;120.441;10.207;20.941;19.215;91.758;13.585;117.15;16.362;1.387
2020;3111-280;2;3111 PERALONSO;5;9.12;11.8;1243.206;1243.206;136.316;11.552;20.218;18.382;90.933;12.938;160.847;17.637;1.495
2020;3111-281;2;3111 PERALONSO;3;2.92;11.8;376.574;376.574;128.964;10.929;19.453;17.521;90.062;12.274;46.22;15.829;1.341
2020;3111-380;2;3111 PERALONSO;6;3.06;11.9;526.31;526.31;171.997;14.454;20.067;18.165;90.519;12.757;67.143;21.942;1.844
2020;3111-220;2;3111 PERALONSO;2;9.13;11.8;1124.783;1124.783;123.196;10.44;18.654;16.304;87.425;11.248;126.513;13.857;1.174
