ZONA;RESPONSABLE ZONA;TECNICO AGRICOLA RESPONSABLE;FINCA; UBICACIÓN TÉCNICA;FECHA DEL PROXIMO CORTE;Zona Agroecologica;FECHA DE SIEMBRA;FECHA DE ULTIMO CORTE;EDAD HOY MESES;NUMERO DE CORTE;VARIEDAD;AREA NETA HA;FECHA PROXIMO CORTE PPTO;TONELADAS PPTO;TONELADAS Estimadas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-240;2025/12/03;7H0;2020/10/29;2024/11/18; 11,3 ;05;CC 01-1940;8,82;2025/11/28; 1.089 ; 1.098 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-241;2025/10/29;7H0;2016/08/24;2024/10/14; 12,5 ;09;CC 01-1940;8,78;2025/10/30; 1.084 ; 1.093 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-250;2026/08/17;7H0;2020/03/12;2025/07/18; 3,4 ;06;CC 11-600;17,72;2025/06/16; 2.421 ; 2.304 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-260;2026/01/02;7H0;2023/02/21;2025/01/27; 9,0 ;03;VARIAS;17,59;2025/01/30; 2.225 ; 2.211 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-270;2026/02/24;7H0;2024/02/29;2025/02/24; 8,1 ;02;CC 05-430;8,52;2025/02/28; 1.242 ; 1.149 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-271;2026/10/06;7H0;2021/08/10;2025/09/21; 1,2 ;05;CC 01-1940;8,82;2025/09/09; 1.089 ; 1.098 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-280;2026/10/23;10H3;2024/04/30;2025/07/24; 3,2 ;02;CC 05-430;9,94;2025/04/15; 1.449 ; 1.491 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-281;2026/08/23;10H3;2022/05/05;2025/07/24; 3,2 ;04;VARIAS;1,97;2025/06/03; 243 ; 245 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-282;2026/03/18;10H3;2022/02/17;2025/03/18; 7,4 ;04;VARIAS;7,52;2025/03/21; 928 ; 869 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-300;2026/08/21;5H3;2023/01/16;2025/08/21; 2,2 ;04;CC 05-430;5,59;2025/09/10; 718 ; 724 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-302;2026/02/11;5H3;2022/02/08;2025/02/11; 8,5 ;04;VARIAS;5,53;2025/02/15; 655 ; 533 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-310;2025/12/19;15H1;2022/12/15;2024/12/04; 10,8 ;03;CC 11-0129;2,34;2025/11/29; 301 ; 305 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
